31.06 	13.99 	12.03 	29.18 	9.09 	25.22 	40.06
43.17 	19.05 	17.69 	35.30 	13.57 	71.82 	63.35
39.44 	27.41 	29.34 	61.55 	17.54 	41.03 	75.81
34.71 	12.85 	9.77 	24.66 	10.14 	53.25 	45.89
39.57 	20.12 	36.98 	53.00 	24.46 	71.45 	72.80
38.52 	16.33 	14.91 	17.89 	15.04 	50.65 	37.68
37.77 	18.77 	33.04 	58.51 	20.83 	101.66 	70.89
46.49 	23.55 	38.82 	67.09 	28.30 	104.03 	88.83
28.47 	8.28 	18.20 	22.99 	12.85 	58.13 	26.02
28.57 	9.87 	6.90 	8.50 	6.07 	29.44 	14.78
37.61 	22.08 	33.15 	38.38 	25.14 	67.50 	47.09
32.03 	19.11 	17.30 	35.03 	11.76 	48.31 	42.85
34.57 	20.33 	25.63 	51.67 	15.41 	72.50 	60.02
39.93 	24.90 	17.02 	17.37 	15.09 	40.78 	52.79
32.93 	16.57 	24.06 	27.59 	17.54 	88.86 	37.66
35.25 	15.00 	38.60 	35.45 	24.02 	78.24 	48.29
32.26 	18.46 	28.49 	45.58 	15.73 	45.59 	47.79
38.68 	24.85 	30.07 	65.44 	19.08 	55.06 	88.69
34.49 	19.01 	21.49 	42.04 	17.37 	57.71 	65.09
34.99 	16.02 	25.70 	29.76 	17.15 	70.01 	39.59
30.35 	9.04 	18.16 	18.05 	12.22 	47.16 	23.38
33.67 	20.80 	35.20 	57.75 	18.21 	83.78 	58.83
44.09 	18.71 	5.36 	10.44 	6.49 	26.04 	44.62
32.63 	13.51 	15.01 	24.36 	10.81 	37.98 	34.17
36.85 	15.60 	20.72 	24.94 	14.51 	74.25 	31.15
42.30 	17.16 	18.56 	41.41 	16.59 	41.00 	73.30
37.28 	12.06 	30.74 	37.19 	22.40 	88.87 	54.74
35.65 	15.09 	25.31 	23.93 	18.33 	78.13 	35.44
36.66 	24.43 	25.67 	10.44 	20.06 	91.54 	15.94
40.79 	23.81 	14.23 	23.01 	10.56 	26.12 	33.95
38.18 	13.24 	17.52 	20.28 	15.56 	47.43 	32.39
36.05 	11.15 	3.78 	6.95 	5.74 	27.49 	20.21
34.01 	11.64 	11.03 	14.49 	10.61 	28.00 	25.62
36.91 	12.24 	16.32 	19.42 	13.52 	39.96 	29.50
37.18 	16.64 	29.45 	41.37 	20.49 	103.76 	50.40
38.99 	27.99 	60.68 	68.09 	30.46 	135.00 	66.10
38.99 	22.73 	17.74 	34.35 	11.86 	43.02 	49.12
33.53 	13.71 	10.40 	8.38 	9.72 	40.66 	12.36
34.94 	9.47 	18.30 	11.44 	15.14 	70.31 	14.91
29.54 	15.80 	18.18 	24.72 	10.97 	47.24 	25.36
32.16 	11.21 	19.19 	13.22 	13.20 	60.00 	16.53
32.74 	14.40 	12.08 	25.77 	10.55 	52.99 	36.38
39.20 	11.92 	19.02 	8.10 	14.35 	44.07 	12.09
38.88 	24.00 	18.26 	20.23 	12.87 	47.01 	27.04
37.58 	15.71 	19.80 	10.14 	15.27 	38.82 	15.44
40.46 	18.56 	18.90 	19.61 	12.54 	58.24 	28.36
32.14 	8.92 	6.11 	10.23 	7.40 	19.53 	22.10
33.02 	12.14 	10.37 	17.34 	10.46 	50.47 	32.93
36.40 	15.18 	16.26 	21.62 	12.54 	62.87 	31.86
30.75 	10.12 	16.32 	19.42 	12.26 	63.09 	25.88
37.73 	12.25 	11.27 	5.37 	12.15 	58.35 	11.02
26.22 	15.00 	30.99 	33.17 	14.59 	82.72 	42.96
31.65 	10.75 	11.00 	16.62 	10.11 	38.75 	27.52
33.79 	15.85 	22.87 	47.20 	15.06 	51.67 	56.34
42.60 	16.64 	15.84 	11.06 	13.29 	36.60 	17.62
33.26 	11.12 	12.06 	6.07 	8.71 	41.25 	8.36
34.88 	14.40 	12.14 	26.86 	11.26 	47.84 	44.41
35.50 	11.32 	5.50 	3.30 	4.96 	16.20 	5.82
28.90 	16.00 	20.27 	11.41 	12.49 	59.87 	18.94
37.00 	11.09 	9.60 	14.94 	11.64 	52.08 	34.55
32.67 	14.60 	12.86 	18.26 	10.86 	54.59 	30.48
33.70 	11.34 	7.16 	17.78 	8.02 	21.62 	38.25
18.90 	16.65 	5.01 	7.92 	5.92 	21.04 	17.73
38.75 	31.19 	56.52 	79.08 	28.68 	148.99 	81.20
40.00 	14.76 	26.35 	36.69 	20.05 	51.75 	54.27
